iter	Logloss
260	0.3568325287
261	0.3564901088
262	0.3560572261
263	0.3557309019
264	0.3553907967
265	0.3550050618
266	0.3545567958
267	0.3540603135
268	0.3535607634
269	0.353093114
270	0.3527736368
271	0.3524148748
272	0.3519942897
273	0.3516230785
274	0.351227831
275	0.3507603998
276	0.3502269851
277	0.3498907067
278	0.3497191569
279	0.3492191476
280	0.3487674282
281	0.3483510367
282	0.3478623524
283	0.3474871408
284	0.3471733609
285	0.346707673
286	0.3463895975
287	0.3460921922
288	0.3457538181
289	0.3454178986
290	0.3451738647
291	0.3447204975
292	0.3443948799
293	0.3440225916
294	0.3437233727
295	0.3433735441
296	0.3432351038
297	0.3429007322
298	0.3425135104
299	0.3421200066
300	0.3416861473
301	0.3412739554
302	0.3408374087
303	0.340399939
304	0.3400126504
305	0.339678205
306	0.3392674148
307	0.3389411403
308	0.3385236013
309	0.338247101
310	0.3380322639
311	0.3377125104
312	0.3372757075
313	0.3367983174
314	0.3364883476
315	0.336121086
316	0.3358242726
317	0.3353135846
318	0.334854805
319	0.3344157368
320	0.3341959248
321	0.333757495
322	0.3334403485
323	0.333013338
324	0.3327274763
325	0.3323796411
326	0.332026493
327	0.331719621
328	0.3313675666
329	0.3309756006
330	0.3305352298
331	0.3301998747
332	0.3298680924
333	0.3295419369
334	0.3290482175
335	0.3286862524
336	0.3283251597
337	0.3279078125
338	0.3275899553
339	0.3273880298
340	0.3270611091
341	0.3267997419
342	0.3264906713
343	0.3260992747
344	0.3259518401
345	0.3256822146
346	0.3253448744
347	0.3249948685
348	0.3245747464
349	0.3241618021
350	0.3238580582
351	0.3234713543
352	0.3231806343
353	0.3229553778
354	0.3224711457
355	0.3220466354
356	0.3217248725
357	0.3213592799
358	0.3211005121
359	0.3207892807
360	0.3202852244
361	0.3199697863
362	0.3196263349
363	0.3193057916
364	0.3190590075
365	0.3187417332
366	0.3184290608
367	0.3181054411
368	0.3178642797
369	0.3176038229
370	0.3173393105
371	0.3169556481
372	0.316753308
373	0.3163518874
374	0.3160479451
375	0.315673175
376	0.3153428373
377	0.3150676252
378	0.3146524829
379	0.3143834381
380	0.3140322748
381	0.3137531814
382	0.3134231695
383	0.3131366793
384	0.3128126418
385	0.312479203
386	0.3121307409
387	0.3118596249
388	0.3115244545
389	0.3112514658
390	0.3109917847
391	0.3106418722
392	0.3104066908
393	0.3101328322
394	0.3097468143
395	0.3093128084
396	0.3091115167
397	0.3087869852
398	0.3084543103
399	0.3081011853
400	0.3076812244
401	0.307330597
402	0.3069370694
403	0.3065565742
404	0.3062834676
405	0.3059379134
406	0.3056804057
407	0.3052868032
408	0.3049628191
409	0.3046242086
410	0.30422344
411	0.3039215582
412	0.3036539976
413	0.3033674289
414	0.302978996
415	0.302628777
416	0.3023331444
417	0.3019929505
418	0.3014907885
419	0.3012642188
420	0.300889726
421	0.3007240337
422	0.3004947437
423	0.3002393156
424	0.2998695017
425	0.2996863912
426	0.2994142744
427	0.2991113919
428	0.2988266129
429	0.2985126314
430	0.2980435121
431	0.2977740545
432	0.297406069
433	0.2971885897
434	0.296846608
435	0.2966559119
436	0.2963096911
437	0.2959363706
438	0.2956090289
439	0.2952777392
440	0.295065579
441	0.2948048249
442	0.2944535083
443	0.2941340959
444	0.2939300232
445	0.2937063431
446	0.2934304025
447	0.2930283907
448	0.2926448933
449	0.2923936636
450	0.2921293806
451	0.2918406359
452	0.2916153382
453	0.2912771756
454	0.2909898539
455	0.2907927997
456	0.29048059
457	0.2902654417
458	0.2898906958
459	0.2895623942
460	0.289336852
461	0.288986292
462	0.2888433466
463	0.2885895003
464	0.2883371999
465	0.2879873172
466	0.2877292838
467	0.287526842
468	0.2872991518
469	0.286888101
470	0.2865278751
471	0.286191757
472	0.2859293156
473	0.285577978
474	0.2853395849
475	0.2849324369
476	0.284610012
477	0.2842605184
478	0.2840263591
479	0.2837664739
480	0.2835323506
481	0.2832670092
482	0.2831245279
483	0.2827754052
484	0.2825501641
485	0.2823588909
486	0.2820051542
487	0.2817178341
488	0.2814380823
489	0.2811907043
490	0.2810145547
491	0.2806617216
492	0.2803258783
493	0.2801141972
494	0.2798469446
495	0.2795909018
496	0.2792758447
497	0.2790353632
498	0.2787308625
499	0.2785346941
500	0.2782336922
501	0.2779753151
502	0.2776701357
503	0.2774040305
504	0.2771608715
505	0.2768352844
506	0.2765646596
507	0.2762449627
508	0.2759260952
509	0.2756152482
510	0.2753449838
511	0.2751466606
512	0.274884245
513	0.274664275
514	0.2744757376
515	0.2741592429
516	0.2738856479
517	0.2735882527
518	0.2732130648
519	0.272987883
520	0.2727999418
521	0.2725277259
522	0.2722983703
523	0.2720182874
524	0.271743496
525	0.2715559841
526	0.2712817097
527	0.2710771252
528	0.2708390119
529	0.2705016737
530	0.2702366288
531	0.2698755187
532	0.2696564765
533	0.2693723873
534	0.2691135555
535	0.2687623915
536	0.2682209382
537	0.267970891
538	0.267751363
539	0.267303834
540	0.2671256757
541	0.2668276442
542	0.26660519
543	0.2664022645
544	0.2660926619
545	0.2657768835
546	0.265534899
547	0.265246889
548	0.2650005245
549	0.264600214
550	0.2643375921
551	0.263984267
552	0.2637584504
553	0.2635356102
554	0.2632261864
555	0.2629144907
556	0.2625583216
557	0.2623521874
558	0.262090014
559	0.2618855055
560	0.2615951813
561	0.2613024291
562	0.261086028
563	0.2608533958
564	0.2606534884
565	0.2603675201
566	0.260121867
567	0.2599074587
568	0.2597472598
569	0.2594525406
570	0.2593432537
571	0.2590729072
572	0.2588009881
573	0.2584708974
574	0.2582796044
575	0.2579966535
576	0.2577289856
577	0.2575111267
578	0.2572913195
579	0.257017694
580	0.256760241
581	0.2565220803
582	0.2563037987
583	0.2561210883
584	0.2559544129
585	0.2556549611
586	0.255339245
587	0.2550234674
588	0.2547858839
589	0.254510337
590	0.2542942165
591	0.2540417152
592	0.2538717156
593	0.2536549294
594	0.2532370486
595	0.2529432787
596	0.2527242397
597	0.2524827885
598	0.252348522
599	0.2521566092
600	0.2520067436
601	0.2518154528
602	0.2516791509
603	0.2513674193
604	0.2510430732
605	0.2508089532
606	0.250524635
607	0.250253543
608	0.2499581602
609	0.2496837397
610	0.2493893022
611	0.249166985
612	0.2488959855
613	0.2486164258
614	0.2483700868
615	0.2481195133
616	0.2477850919
617	0.247535538
618	0.2473795856
619	0.2472015614
620	0.2469649739
621	0.2467016246
622	0.246378206
623	0.2462003668
624	0.2459635138
625	0.2456893133
626	0.2454432583
627	0.2452608038
628	0.2449717758
629	0.2446972947
630	0.2445019836
631	0.244276551
632	0.2439965634
633	0.2437695812
634	0.2435540869
635	0.2433034769
636	0.2431155126
637	0.2429102729
638	0.242657537
639	0.2423989641
640	0.242096968
641	0.2418880127
