team,week,off_snaps_lost,def_snaps_lost
IND,15,12.4,91.72435897435898
IND,16,31.384615384615383,64.41666666666667
IND,17,50.93006993006993,64.41666666666667
IND,18,59.05128205128205,0.0
JAX,5,0.0,25.25
JAX,7,9.166666666666666,67.2
JAX,8,0.0,27.166666666666668
JAX,14,0.0,15.833333333333334
JAX,16,0.0,86.43589743589743
KC,2,0.0,0.0
KC,3,0.0,36.0
KC,4,0.0,36.0
KC,5,0.0,0.0
KC,6,0.0,111.4
KC,7,0.0,62.6
KC,9,15.714285714285714,0.0
KC,10,37.875,0.0
KC,11,49.44444444444444,0.0
KC,12,17.2,0.0
KC,13,17.2,0.0
KC,16,14.225274725274724,25.0
KC,18,19.5625,0.0
LA,2,0.0,0.0
LA,3,0.0,44.0
LA,4,0.0,44.0
LA,5,0.0,30.333333333333332
LA,6,22.2,0.0
LA,8,22.2,0.0
LA,9,0.14285714285714285,0.0
LA,10,11.0,46.875
LA,11,0.0,0.0
LA,12,59.333333333333336,35.9
LA,13,67.33333333333334,86.18181818181819
LA,14,0.0,117.4040404040404
LA,15,0.0,87.22222222222223
LA,16,49.714285714285715,56.0
LA,17,49.714285714285715,56.0
LA,18,49.776785714285715,117.5
LAC,2,22.0,0.0
LAC,4,22.0,0.0
LAC,5,22.0,0.0
LAC,6,22.0,0.0
LAC,7,91.83333333333334,0.0
LAC,9,105.14285714285714,48.57142857142857
LAC,10,86.64285714285714,21.428571428571427
LAC,11,0.0,0.0
LAC,12,56.875,57.4
LAC,13,56.875,0.0
LAC,14,0.0,110.56060606060606
LAC,15,0.0,63.833333333333336
LAC,17,0.0,60.84615384615385
LV,2,16.0,51.0
LV,3,47.0,26.0
LV,4,78.33333333333333,0.0
LV,5,0.0,48.25
LV,7,41.0,0.0
LV,14,0.0,147.0340909090909
LV,15,0.0,60.45454545454545
LV,16,0.0,60.45454545454545
LV,18,0.0,1.4
MIA,2,1.0,0.0
MIA,3,13.0,0.0
MIA,4,13.0,0.0
MIA,5,50.0,0.0
MIA,6,49.0,44.2
MIA,7,0.0,15.5
MIA,10,12.0,0.0
MIA,12,36.2,0.0
MIA,15,0.0,39.27272727272727
MIA,17,54.23076923076923,0.0
MIA,18,70.03076923076924,0.0
MIN,2,0.0,0.0
MIN,3,0.0,62.5
MIN,4,0.0,0.0
MIN,5,10.75,0.0
MIN,9,0.0,43.42857142857143
MIN,10,0.0,101.42857142857143
MIN,11,0.0,55.87301587301587
MIN,12,0.0,29.944444444444443
MIN,13,10.75,0.0
MIN,14,0.0,27.0
MIN,17,0.0,18.4
MIN,18,0.0,83.6142857142857
NE,4,63.666666666666664,26.333333333333332
NE,5,95.41666666666666,26.333333333333332
NE,6,0.0,16.6
NE,8,0.0,34.333333333333336
NE,9,45.5,0.0
NE,11,0.0,34.333333333333336
NE,13,19.22222222222222,0.0
NE,14,67.62222222222222,46.9
NE,15,40.75,46.9
NE,16,40.75,46.9
NE,17,72.10714285714286,56.98571428571429
NO,2,0.0,0.0
NO,3,0.0,9.5
NO,4,110.66666666666666,66.0
NO,5,110.66666666666666,54.66666666666667
NO,6,88.58333333333334,76.86666666666667
NO,7,117.08333333333334,60.2
NO,8,82.58333333333334,60.2
NO,9,20.375,60.2
NO,10,20.375,114.42222222222222
NO,11,20.375,202.38888888888889
NO,12,0.0,79.72222222222223
NO,13,42.166666666666664,58.125
NO,15,0.0,39.00961538461539
NO,16,77.55341880341881,54.3
NO,17,3.4166666666666665,66.9
NO,18,0.0,62.46153846153846
NYG,2,9.0,62.0
NYG,3,26.5,105.5
NYG,4,26.5,63.5
NYG,5,63.25,50.0
NYG,6,42.25,50.25
NYG,7,42.25,81.5
NYG,8,65.46428571428572,51.5
NYG,10,40.714285714285715,0.0
NYG,11,40.714285714285715,0.0
NYG,12,40.714285714285715,101.95555555555555
NYG,13,0.0,55.4
NYG,14,0.0,108.17777777777778
NYG,15,0.0,55.4
NYG,16,0.0,55.4
NYG,17,0.0,55.4
NYG,18,0.0,138.59047619047618
NYJ,2,23.0,0.0
NYJ,3,0.0,0.0
NYJ,4,0.0,54.666666666666664
NYJ,5,0.0,54.666666666666664
NYJ,6,0.0,19.6
NYJ,7,57.166666666666664,19.6
NYJ,8,48.142857142857146,0.0
NYJ,9,48.142857142857146,0.0
NYJ,11,50.892857142857146,36.0
NYJ,12,2.75,36.0
NYJ,13,33.18181818181818,1.2
NYJ,15,117.46666666666667,5.3076923076923075
NYJ,16,116.2348484848485,5.3076923076923075
NYJ,17,12.818181818181818,5.3076923076923075
NYJ,18,0.0,67.66483516483517
PHI,4,12.0,60.333333333333336
PHI,5,0.0,73.33333333333334
PHI,9,0.0,39.14285714285714
PHI,10,0.0,55.0
PHI,11,0.0,0.0
PHI,13,0.0,91.71212121212122
PHI,14,1.5,0.0
PHI,15,0.0,15.714285714285714
PHI,16,68.21428571428571,0.0
PHI,17,68.21428571428571,50.77777777777778
PHI,18,1.2,87.46527777777777
PIT,4,0.0,72.66666666666667
PIT,5,0.0,72.66666666666667
PIT,6,46.6,257.6666666666667
PIT,7,4.5,72.66666666666667
PIT,8,0.0,88.83333333333334
PIT,10,0.0,181.85714285714286
PIT,11,0.0,62.0
PIT,12,20.4,62.0
PIT,13,0.0,62.0
PIT,15,59.3,54.0
PIT,17,0.0,16.2
PIT,18,0.0,16.2
SEA,2,0.0,0.0
SEA,3,0.0,24.0
SEA,5,4.0,0.0
SEA,6,2.0,30.0
SEA,7,2.0,16.0
SEA,8,2.0,0.0
SEA,9,29.571428571428573,36.75
SEA,10,0.0,0.0
SEA,12,16.8,0.0
SEA,16,51.5,27.416666666666668
SEA,17,32.30769230769231,0.0
SEA,18,16.5,0.0
SF,3,59.0,0.0
SF,4,65.5,22.333333333333332
SF,5,59.0,69.66666666666667
SF,6,0.0,70.33333333333334
SF,7,0.0,35.333333333333336
SF,8,87.28571428571428,93.76190476190476
SF,10,0.0,75.08333333333334
SF,11,0.0,35.333333333333336
SF,12,0.0,35.333333333333336
SF,13,17.5,0.0
SF,14,55.81818181818182,26.366666666666667
SF,15,107.23484848484848,63.212820512820514
SF,16,107.23484848484848,27.153846153846153
SF,17,107.23484848484848,27.153846153846153
SF,18,55.81818181818182,86.48717948717949
TB,2,19.0,0.0
TB,3,50.5,29.5
TB,4,41.0,29.5
TB,5,40.0,67.0
TB,6,25.0,75.4
TB,7,63.8,37.9
TB,8,84.08571428571429,130.82857142857142
TB,9,84.08571428571429,62.42857142857143
TB,10,45.285714285714285,0.0
TB,12,92.68571428571428,0.0
TB,13,0.0,145.23611111111111
TB,14,0.0,124.61111111111111
TB,15,0.0,128.3846153846154
TB,16,0.0,128.3846153846154
TB,17,0.0,81.61538461538461
TB,18,0.0,169.67094017094018
TEN,2,12.0,60.0
TEN,3,22.0,78.0
TEN,4,0.0,128.33333333333334
TEN,5,31.0,143.5
TEN,7,0.0,40.0
TEN,8,0.0,43.166666666666664
TEN,9,0.0,53.4
TEN,10,0.0,180.48333333333335
TEN,11,0.0,97.73333333333333
TEN,13,0.0,41.0
TEN,14,34.0,134.15757575757576
TEN,15,50.66666666666667,131.6159090909091
TEN,16,57.166666666666664,127.58181818181818
TEN,17,96.63333333333333,282.9449134199134
TEN,18,0.0,0.0
WAS,3,0.0,20.5
WAS,5,63.0,6.0
WAS,6,116.55,55.5
WAS,7,133.88333333333333,51.0
WAS,8,100.33333333333334,114.71428571428572
WAS,9,90.625,69.42857142857143
WAS,10,27.625,69.42857142857143
WAS,11,42.325,63.714285714285715
WAS,12,7.2727272727272725,119.25974025974025
WAS,13,7.2727272727272725,55.54545454545455
WAS,17,32.6,36.142857142857146
WAS,18,29.25,140.85119047619048
