,possessionTeam,Man_def,Zone_def,cover_0_def,cover_1_def,cover_2_def,cover_3_def,Quarters_def,cover_6_def,Other_def,Man_off,Zone_off,cover_0_off,cover_1_off,cover_2_off,cover_3_off,Quarters_off,cover_6_off,Other_off
0,ARI,9.529411764705882,23.647058823529413,3.1176470588235294,5.352941176470588,4.0,12.588235294117647,4.117647058823529,2.8823529411764706,1.1176470588235294,7.411764705882353,28.352941176470587,1.8235294117647058,5.588235294117647,4.588235294117647,14.0,5.882352941176471,3.7058823529411766,0.17647058823529413
1,ATL,11.117647058823529,22.0,1.6470588235294117,9.0,12.294117647058824,8.117647058823529,0.7058823529411765,0.6470588235294118,0.7058823529411765,8.058823529411764,24.705882352941178,1.2352941176470589,6.294117647058823,5.588235294117647,11.294117647058824,5.882352941176471,1.8235294117647058,0.6470588235294118
2,BAL,12.941176470588236,22.941176470588236,2.2941176470588234,9.705882352941176,2.9411764705882355,11.235294117647058,4.529411764705882,4.117647058823529,1.0588235294117647,9.058823529411764,25.705882352941178,3.764705882352941,5.235294117647059,2.6470588235294117,13.0,7.411764705882353,2.5294117647058822,0.17647058823529413
3,BUF,11.705882352941176,22.941176470588236,1.588235294117647,8.823529411764707,3.235294117647059,7.9411764705882355,8.647058823529411,3.0588235294117645,1.3529411764705883,14.176470588235293,27.0,3.176470588235294,10.411764705882353,7.647058823529412,12.352941176470589,4.764705882352941,2.235294117647059,0.5882352941176471
4,CAR,10.529411764705882,19.176470588235293,1.8235294117647058,8.411764705882353,3.588235294117647,9.882352941176471,4.235294117647059,1.411764705882353,0.35294117647058826,9.176470588235293,24.764705882352942,1.3529411764705883,7.352941176470588,5.647058823529412,12.470588235294118,4.176470588235294,2.3529411764705883,0.5882352941176471
5,CHI,9.823529411764707,17.58823529411765,1.7647058823529411,7.352941176470588,2.411764705882353,6.882352941176471,1.8823529411764706,6.352941176470588,0.7647058823529411,6.294117647058823,24.235294117647058,1.2352941176470589,4.764705882352941,4.235294117647059,11.058823529411764,5.411764705882353,3.235294117647059,0.5882352941176471
6,CIN,12.941176470588236,31.764705882352942,2.0588235294117645,10.0,8.0,15.176470588235293,5.352941176470588,3.0588235294117645,1.0588235294117647,10.588235294117647,29.529411764705884,1.4705882352941178,8.470588235294118,4.764705882352941,12.588235294117647,6.0,5.9411764705882355,0.8823529411764706
7,CLE,8.117647058823529,24.941176470588236,1.1176470588235294,6.470588235294118,0.7058823529411765,11.764705882352942,9.823529411764707,2.4705882352941178,0.7058823529411765,9.705882352941176,19.941176470588236,1.411764705882353,7.764705882352941,3.411764705882353,10.647058823529411,2.764705882352941,3.0,0.6470588235294118
8,DAL,14.588235294117647,20.470588235294116,1.0588235294117647,13.058823529411764,6.294117647058823,9.647058823529411,4.176470588235294,0.17647058823529413,0.6470588235294118,11.470588235294118,28.352941176470587,2.0588235294117645,9.0,5.882352941176471,13.058823529411764,6.647058823529412,2.7058823529411766,0.47058823529411764
9,DEN,13.411764705882353,18.88235294117647,1.7647058823529411,11.411764705882353,0.35294117647058826,6.529411764705882,4.0588235294117645,7.882352941176471,0.29411764705882354,9.235294117647058,21.823529411764707,1.1176470588235294,7.588235294117647,3.7058823529411766,11.529411764705882,3.5294117647058822,2.588235294117647,1.0
10,DET,9.0,22.235294117647058,2.5294117647058822,5.705882352941177,5.647058823529412,9.647058823529411,3.6470588235294117,3.2941176470588234,0.7647058823529411,7.764705882352941,26.058823529411764,0.8823529411764706,6.647058823529412,3.7058823529411766,13.705882352941176,3.3529411764705883,5.0588235294117645,0.47058823529411764
11,GB,10.352941176470589,25.0,0.8235294117647058,8.823529411764707,0.9411764705882353,11.0,7.647058823529412,5.117647058823529,1.0,12.058823529411764,24.058823529411764,2.7058823529411766,8.352941176470589,3.764705882352941,11.176470588235293,5.588235294117647,3.5294117647058822,1.0
12,HOU,8.647058823529411,22.470588235294116,0.5882352941176471,8.058823529411764,9.294117647058824,8.235294117647058,2.764705882352941,2.176470588235294,0.0,10.058823529411764,21.11764705882353,1.6470588235294117,7.235294117647059,3.764705882352941,10.235294117647058,4.470588235294118,2.235294117647059,1.588235294117647
13,IND,8.882352941176471,25.058823529411764,0.5294117647058824,7.588235294117647,6.470588235294118,9.941176470588236,4.647058823529412,4.0,0.7647058823529411,9.705882352941176,20.470588235294116,1.588235294117647,7.588235294117647,4.294117647058823,9.764705882352942,4.117647058823529,2.1176470588235294,0.7058823529411765
14,JAX,9.705882352941176,21.764705882352942,2.0,7.0,6.352941176470588,10.705882352941176,3.176470588235294,1.4705882352941178,0.7647058823529411,9.764705882352942,24.705882352941178,1.4705882352941178,8.117647058823529,6.352941176470588,11.470588235294118,4.470588235294118,2.235294117647059,0.35294117647058826
15,KC,15.411764705882353,26.470588235294116,3.2941176470588234,10.823529411764707,11.529411764705882,7.0,4.117647058823529,3.6470588235294117,1.4705882352941178,13.529411764705882,32.411764705882355,1.3529411764705883,10.470588235294118,6.0588235294117645,12.176470588235293,8.764705882352942,5.294117647058823,1.8235294117647058
16,LA,7.117647058823529,37.11764705882353,0.7058823529411765,6.352941176470588,0.6470588235294118,20.823529411764707,7.647058823529412,7.705882352941177,0.35294117647058826,12.117647058823529,30.647058823529413,2.0,9.176470588235293,5.764705882352941,12.529411764705882,8.058823529411764,4.294117647058823,0.9411764705882353
